"Greenhouse Gas Gross Total, MMT CO2 eq.","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Texas","771.6707846061984","767.4748407143946","768.27727560757","782.9299776750992","789.362658441532","795.711930434585","837.4803193048418","838.4594050789254","845.052941091973","831.2183811943237","869.9543144426459","855.7447034749621","872.8178349869976","864.1313417435068","864.9312195679892","835.4746449824482","844.0594997283902","847.2348018312493","822.7005873984837","777.3057482313534","801.2491469141186","823.9230407392909","816.5054136514711","868.1040557207936","869.6337291355903","859.9941611818579","841.070912345225","852.3662836758707","882.6192292580274","878.0794856059049","813.4347793827326","858.7475505141983","862.4027657339689"
"California","445.5626950360963","431.9989711680751","444.40389904846256","428.71715231768536","442.36327774359296","431.31014774823524","431.2376082635253","433.4288727494704","445.32240370272456","450.04053727554214","466.8391544259331","467.364116272375","466.20664773192254","460.00302011383013","475.70614163682484","467.6910320535365","473.74319494400663","477.92574527324615","462.74928240213376","435.3183287962979","423.67242261787567","412.14213852944533","419.24369896143895","423.2601042137217","417.58352281917075","423.86843119539975","418.5447806617312","421.8388716961739","422.15662378363345","422.14536981162064","381.58014121621335","403.1233392611712","393.01598890927164"
"Florida","221.62826910373659","221.43548480720602","224.7649155868796","232.2203084908046","237.4734055203193","242.83440043633658","250.2044640262437","253.2793968351164","265.9105668890412","268.18687423263384","277.6674744033048","274.97373049677344","280.56868767516966","288.0276640098903","296.1819847143909","302.0619335639994","301.4880528143477","301.3677136282507","279.2566044475243","267.5109539004036","286.0413465023184","275.6082605285881","268.9902209116834","267.38178907246544","273.65407548118407","277.3762151799239","283.5334518850741","284.5253461901947","290.0339382507653","281.7904268071565","260.1702431074622","277.1173387650073","277.58641162496076"
"Pennsylvania","305.7812235194634","308.2042440897422","309.302839017712","314.7778540096478","314.85237697435235","318.69574349632757","329.74655267138814","330.5988096110571","328.87484503083505","325.2623787967608","336.688614426837","322.25346405090386","327.0093147309441","331.07567984782435","335.3164246424392","336.6224477075962","333.7367120429197","331.39123869556255","327.43020916461165","304.7971713541201","311.16163758671786","299.243852918386","287.00757866060854","299.7951503211752","298.60185685136673","284.5516261439589","271.4618172016088","275.1730886955812","281.3765842588164","274.45115181499074","253.8514725842655","269.28562188526445","265.0673325969656"
"Ohio","303.1226629787666","300.36263284634504","305.6699281743632","309.4975606437249","306.49936812835836","312.69470044491794","322.74589078580635","317.0622584821956","317.6610212888442","316.6741892723818","323.2128340214943","310.2498459563155","314.65204827676865","318.3293207793824","314.4250709097688","320.5253164261869","311.5861076190256","315.9302510707151","311.45651904023316","282.4937469260637","287.8743480048738","274.54057790378806","253.06745930221422","265.9936868856946","264.9449610716147","249.43262738649344","240.77445892544208","242.8468709519285","250.05617372471053","231.73085660295658","223.0292489075893","236.52928252945347","237.3704332186319"
"Louisiana","233.45431639430257","230.49647683029875","239.23986269649012","240.3732314743784","244.39058884577173","245.519309439412","245.19183293356454","252.56368379351963","247.57847716792054","245.01628281097743","262.4043975601586","234.68193636230075","242.55116533264058","233.57939663620087","241.82973091442065","237.09893837646842","242.65870281763617","250.37878664442687","240.9382755240211","228.92776298584874","236.9697949866958","238.86788138012062","231.52770175441836","225.75946521740002","221.91159764802325","220.01051317163945","219.9574194430675","220.37084406318655","228.94626200815875","229.25932118039182","212.26482740563674","221.98213123111805","228.22538895555107"
"Illinois","263.00016578094437","260.9027458551524","256.2843200945731","272.524709457071","275.05684586135817","280.25299786085145","294.45316660655664","296.8928735800664","284.9363335799835","294.6606881109031","301.8384643497563","291.20315766506275","298.2279632796717","301.3209792852338","298.77083530439177","301.57198033328257","296.46520990015284","297.6180772759528","299.68493606926023","279.40964243977334","284.2089595571364","278.5369677687668","267.7170327257887","282.7530152835681","284.7902800283441","270.92209896020347","253.39650683491234","249.66860427578106","257.5671877311991","243.43993747238233","210.1229265207545","225.8843037468773","225.4574062772305"
"New York","238.02531957803123","228.9807254192956","228.60411607083745","221.17395169700004","220.14093886391794","225.69520473985804","227.93498163724956","230.82791438341533","231.65048646391443","233.65420044928388","241.27927069028758","237.59717645528912","234.18569885067768","243.08446570550856","247.2097907015317","243.8518417663402","227.75367918993697","234.55212849036477","221.36822289909108","205.0351042702391","212.85551953896726","205.21590531291596","198.14900963383744","199.29079440862938","205.4706378091141","203.43797362296135","197.95919672158146","193.7941594026593","202.52865858952362","198.3592127023696","177.87809930275773","189.13032136777386","196.06359710013595"
"Indiana","239.51672398113064","233.2862975426755","235.1712528026146","239.62719507778547","245.09616948783273","250.12620747837565","252.0574581374476","255.48598660084758","255.1545840646476","258.5148274633981","271.85082486539835","261.803406445809","263.3563499051154","267.05188350309487","273.3403716852259","270.9043732354951","269.98127235399227","271.22937779776356","270.5820116202897","245.72604858409787","261.7777340733731","250.69748227938564","235.96069431723527","239.97902808463078","245.92192237012264","227.58785166550769","218.5816487632687","211.98217755832454","225.3256453032483","211.43286058830904","184.0734341026358","194.57364540573118","193.41903468202926"
"Michigan","221.33203546550192","220.82538231827795","221.29825170095484","222.62608492076595","227.4573129341715","230.26768562821772","235.0914214161149","231.54400801911052","229.96034698090136","235.37572918717768","233.4867159358995","228.52559160597886","228.96115687080032","226.80386120819432","228.4108877659883","228.8026462791816","216.90711487175037","218.8992150028872","210.99369374198795","197.65640257878394","207.44927227790777","202.1496124039616","193.8652557182764","201.67366287118398","201.41585391171466","201.60379708128283","192.40063072995864","190.24572259334366","197.0968737415444","191.47702124004846","169.15684351928752","180.58165868776425","186.301612260289"
