"U.S. Emissions, Industrial Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Fossil fuel combustion: carbon dioxide",833.0910469,823.8625201,846.266337,848.3223862,847.5857488,864.335968,883.9153236,878.6331093,863.384474,823.441062,847.3830746,825.3599684,815.7977997,808.6035229,828.5843554,796.8230361,813.9434349,806.6771672,777.051308,705.4464518,744.4823934,746.5686774,745.9184535,780.0138185,774.8861547,751.814829,748.1574299,740.5808573,770.6556983,770.1434681,722.9014408,740.6543002,761.7973514
"Natural gas and petroleum systems",318.02137357199996,322.857253683,318.827118254,318.71389536,319.986641589,311.34664599900003,310.231408901,313.245338162,306.212112451,300.185943536,305.036369931,306.260146023,303.90727363900004,304.19879147700004,307.35941664,303.147874292,316.434517821,314.543934621,322.454797192,303.735058036,300.45272635099997,300.17816589299997,297.78147723,312.13150253,317.31084108,317.136977768,292.439230607,307.510370513,325.324972511,333.492074156,307.802389826,291.74702018700003,279.864096976
"Other industrial categories",106.47254173099999,110.506438665,115.065857105,103.91656193300001,113.33536246300001,113.036914467,110.65646093900001,117.95211018100001,130.468489373,138.337193574,128.66265562,127.973896592,127.076580684,122.889217226,141.257263236,134.16907314600002,134.57040192,122.331346747,120.137135692,105.779493665,105.357728715,105.27112776000001,109.221934739,122.80223070100001,110.17693681200001,123.175172865,117.122829088,127.077609034,138.886002585,127.554107187,120.124562966,133.84982428200001,124.64469453800001
"Mineral industry",52.469645138,51.126922859000004,51.821649085000004,53.882563904,56.043060714000006,58.551034922999996,59.829494319000005,61.300298558,62.635087064,63.472322648,63.090246998999994,62.092907563,63.416474633,63.904422024,68.009809724,68.75932343900001,71.012267987,68.83123685800001,63.677468996,49.370998869000005,56.936476561999996,57.509853683,59.826807404,62.316926179999996,66.697250326,66.543127357,64.508177358,64.989639862,62.165011471999996,64.303808084,63.321152272,64.432174832,66.23956816
"Chemical industry",68.485466928,69.226553696,69.80684608799999,71.22659346100002,74.64676246,78.578380771,79.87491979299999,75.50051065999999,73.03980458900001,72.028443331,70.360700042,60.48230576800001,63.98513936,61.773155973,63.950708294,64.06089836400001,64.75997672899999,70.79394991899999,56.928922869999994,53.32150250700001,62.114402053999996,65.560319186,61.26341103000001,59.99793145000001,58.959692503,62.200359313,63.698300031,65.91115347800002,69.48063963199999,66.048156181,67.406980196,69.37885418100001,64.73292455400001
"Coal mining",120.735116129,117.236508486,114.86650619599999,99.597665898,102.13292741,100.90231662,100.86861759,99.17640309000001,98.641525744,93.414854461,90.423128534,89.35292957200001,83.715313995,83.64680195,84.990482372,83.018328509,84.407379807,83.686849102,95.89831598,100.36331150699999,103.23136855,90.816598299,83.774057416,83.17372982200001,83.424161105,79.224203076,70.698256405,71.751373429,69.155127572,62.607452081,54.841756741,53.383467284,52.399882396
"Metal industry",139.93056514799997,127.115405075,126.770785228,121.32311159,121.91427946099999,125.822968357,125.832692073,125.307829208,115.94231804899998,113.053417935,112.19562433600001,93.652169078,91.460785758,87.571447179,85.386660418,83.27724851,85.416785329,88.870151234,82.746991498,54.133067989000004,67.858017893,74.882466988,68.93318466699999,66.389258541,67.85930099499998,57.04307953699999,50.63276322699999,47.540092294,50.488027865999996,50.540443245,44.664495791,48.562676233999994,46.746854739999996
"Production and use of fluorinated gases",75.70084018399999,72.585591133,77.308830851,75.446637072,75.19841170200002,80.182403968,81.76627808999999,85.020831274,98.370328429,91.032210327,72.776710445,56.798230558,55.133120998,51.518472745,50.228301108000004,43.890613515,42.985753225,45.956917448999995,43.23227044000001,34.511418543,38.626298828,38.179154288999996,37.096457832999995,37.293715004,38.04293134,39.79663099900001,39.788992449000006,43.80355093400001,46.302937925,47.682965969,46.005216271,44.679436952,46.731838645
"Fossil fuel combustion: other greenhouse gases",8.415724786,8.349499305,8.541147887000001,8.570614337,8.828430631,9.009234843,9.137775210000001,9.276281747,9.066628846,8.971704410000001,9.165021449000001,9.381440028,9.311782219,9.537834812,10.062200795999999,10.112774318,10.958204965,9.936594225,9.582010147,8.843633474,9.510411967,9.426916756,9.343065683999999,9.709205362999999,9.522675035999999,9.127020573,9.186298571,9.247643949,9.410796445,9.425065358,8.842767367,9.107834518,9.378954228000001
"Gross total",1723.3223205160002,1702.8666930019997,1729.2750776940002,1701.000029755,1719.6716252299998,1741.7658679480003,1762.112970515,1765.41271218,1757.7607685449998,1703.9371522220001,1699.0935319559999,1631.3539935820002,1613.8042709860001,1593.6436662860003,1639.8291979880003,1587.2591701929998,1624.4887226830003,1611.628147355,1571.7092208149998,1415.50493639,1488.56982432,1488.3932802540003,1473.158849503,1533.828318091,1526.879943897,1506.0614004880001,1456.232277636,1478.412290793,1541.869214308,1531.7975403609998,1435.9107622300003,1455.7955886700001,1452.536165637
