Sector,Year,Value
Fossil fuel combustion: carbon dioxide,1990,833.091047
Natural gas and petroleum systems,1990,318.021374
Other industrial categories,1990,106.472542
Mineral industry,1990,52.469645
Chemical industry,1990,68.485467
Coal mining,1990,120.735116
Metal industry,1990,139.930565
Production and use of fluorinated gases,1990,75.70084
Fossil fuel combustion: other greenhouse gases,1990,8.415725
Gross total,1990,1723.322321
Fossil fuel combustion: carbon dioxide,1991,823.86252
Natural gas and petroleum systems,1991,322.857254
Other industrial categories,1991,110.506439
Mineral industry,1991,51.126923
Chemical industry,1991,69.226554
Coal mining,1991,117.236508
Metal industry,1991,127.115405
Production and use of fluorinated gases,1991,72.585591
Fossil fuel combustion: other greenhouse gases,1991,8.349499
Gross total,1991,1702.866693
Fossil fuel combustion: carbon dioxide,1992,846.266337
Natural gas and petroleum systems,1992,318.827118
Other industrial categories,1992,115.065857
Mineral industry,1992,51.821649
Chemical industry,1992,69.806846
Coal mining,1992,114.866506
Metal industry,1992,126.770785
Production and use of fluorinated gases,1992,77.308831
Fossil fuel combustion: other greenhouse gases,1992,8.541148
Gross total,1992,1729.275078
Fossil fuel combustion: carbon dioxide,1993,848.322386
Natural gas and petroleum systems,1993,318.713895
Other industrial categories,1993,103.916562
Mineral industry,1993,53.882564
Chemical industry,1993,71.226593
Coal mining,1993,99.597666
Metal industry,1993,121.323112
Production and use of fluorinated gases,1993,75.446637
Fossil fuel combustion: other greenhouse gases,1993,8.570614
Gross total,1993,1701.00003
Fossil fuel combustion: carbon dioxide,1994,847.585749
Natural gas and petroleum systems,1994,319.986642
Other industrial categories,1994,113.335362
Mineral industry,1994,56.043061
Chemical industry,1994,74.646762
Coal mining,1994,102.132927
Metal industry,1994,121.914279
Production and use of fluorinated gases,1994,75.198412
Fossil fuel combustion: other greenhouse gases,1994,8.828431
Gross total,1994,1719.671625
Fossil fuel combustion: carbon dioxide,1995,864.335968
Natural gas and petroleum systems,1995,311.346646
Other industrial categories,1995,113.036914
Mineral industry,1995,58.551035
Chemical industry,1995,78.578381
Coal mining,1995,100.902317
Metal industry,1995,125.822968
Production and use of fluorinated gases,1995,80.182404
Fossil fuel combustion: other greenhouse gases,1995,9.009235
Gross total,1995,1741.765868
Fossil fuel combustion: carbon dioxide,1996,883.915324
Natural gas and petroleum systems,1996,310.231409
Other industrial categories,1996,110.656461
Mineral industry,1996,59.829494
Chemical industry,1996,79.87492
Coal mining,1996,100.868618
Metal industry,1996,125.832692
Production and use of fluorinated gases,1996,81.766278
Fossil fuel combustion: other greenhouse gases,1996,9.137775
Gross total,1996,1762.112971
Fossil fuel combustion: carbon dioxide,1997,878.633109
Natural gas and petroleum systems,1997,313.245338
Other industrial categories,1997,117.95211
Mineral industry,1997,61.300299
Chemical industry,1997,75.500511
Coal mining,1997,99.176403
Metal industry,1997,125.307829
Production and use of fluorinated gases,1997,85.020831
Fossil fuel combustion: other greenhouse gases,1997,9.276282
Gross total,1997,1765.412712
Fossil fuel combustion: carbon dioxide,1998,863.384474
Natural gas and petroleum systems,1998,306.212112
Other industrial categories,1998,130.468489
Mineral industry,1998,62.635087
Chemical industry,1998,73.039805
Coal mining,1998,98.641526
Metal industry,1998,115.942318
Production and use of fluorinated gases,1998,98.370328
Fossil fuel combustion: other greenhouse gases,1998,9.066629
Gross total,1998,1757.760769
Fossil fuel combustion: carbon dioxide,1999,823.441062
Natural gas and petroleum systems,1999,300.185944
Other industrial categories,1999,138.337194
Mineral industry,1999,63.472323
Chemical industry,1999,72.028443
Coal mining,1999,93.414854
Metal industry,1999,113.053418
Production and use of fluorinated gases,1999,91.03221
Fossil fuel combustion: other greenhouse gases,1999,8.971704
Gross total,1999,1703.937152
Fossil fuel combustion: carbon dioxide,2000,847.383075
Natural gas and petroleum systems,2000,305.03637
Other industrial categories,2000,128.662656
